# 2024-10-25T17:49:23+02:00
# Header Rows: 14
# File Format: 2
# Device: waveScan USB
# Serial: S10794
# Firmware: 4.3.4
# Software: 2.0.0.60
# SVN Revision: 541
# SpectrumCenter of Gravity: 1036.5 nm
# SpectrumFWHM: 23.8 nm
# SpectrumPeak: 1024.1 nm
# ==========
# Wavelength	Intensity
# ==========
1100.318	4142
1100.489	4197
1100.660	4236
1100.830	4166
1101.001	4158
1101.172	4009
1101.343	4038
1101.514	4118
1101.685	4169
1101.856	4070
1102.027	4119
1102.198	4111
1102.369	3918
1102.540	4111
1102.711	3977
1102.882	3886
1103.053	3961
1103.224	3843
1103.395	3869
1103.566	3917
1103.737	3763
1103.908	3856
1104.079	3811
1104.250	3808
1104.421	3847
1104.592	3724
1104.763	3721
1104.934	3893
1105.105	3760
1105.276	3614
1105.447	3541
1105.618	3510
1105.789	3657
1105.960	3492
1106.131	3480
1106.302	3561
1106.473	3484
1106.644	3482
1106.815	3335
1106.986	3355
1107.157	3278
1107.328	3356
1107.499	3329
1107.670	3262
1107.841	3276
1108.012	3153
1108.183	3232
1108.354	3161
1108.525	3068
1108.696	3162
1108.867	3239
1109.038	3121
1109.209	3058
1109.380	3070
1109.551	3100
1109.722	2950
1109.893	2888
1110.064	2879
1110.234	2896
1110.405	2767
1110.576	2743
1110.747	2663
1110.918	2647
1111.089	2600
1111.260	2546
1111.431	2478
1111.602	2471
1111.773	2598
1111.944	2534
1112.115	2477
1112.286	2503
1112.457	2434
1112.628	2431
1112.799	2351
1112.970	2290
1113.141	2195
1113.312	2203
1113.483	2239
1113.654	2125
1113.825	2202
1113.996	2281
1114.167	2190
1114.338	2026
1114.509	2011
1114.680	2065
1114.851	2020
1115.022	1969
1115.193	1910
1115.364	1894
1115.535	1828
1115.706	1891
1115.877	1857
1116.048	1860
1116.219	1732
1116.390	1685
1116.561	1672
1116.732	1668
1116.903	1625
1117.074	1649
1117.245	1593
1117.416	1619
1117.587	1600
1117.758	1573
1117.929	1563
1118.100	1651
1118.271	1536
1118.442	1586
1118.613	1566
1118.784	1526
1118.955	1524
1119.126	1490
1119.297	1377
1119.468	1419
1119.638	1373
1119.809	1428
1119.980	1383
1120.151	1319
1120.322	1318
1120.493	1364
1120.664	1399
1120.835	1260
1121.006	1297
1121.177	1222
1121.348	1257
1121.519	1288
1121.690	1185
1121.861	1257
1122.032	1159
1122.203	1162
1122.374	1167
1122.545	1204
1122.716	1223
1122.887	1172
1123.058	1219
1123.229	1206
1123.400	1192
1123.571	1141
1123.742	1126
1123.913	1148
1124.084	1144
1124.255	1238
1124.426	1168
1124.597	1179
1124.768	1143
1124.939	1096
1125.110	1120
1125.281	1095
1125.452	1080
1125.623	1119
1125.794	1084
1125.965	1100
1126.136	1029
1126.307	1112
1126.478	1106
1126.649	1061
1126.820	1089
1126.991	1032
1127.162	1070
1127.333	1016
1127.504	1002
1127.675	960
1127.846	1042
1128.017	990
1128.188	1012
1128.359	964
1128.530	957
1128.701	926
1128.872	850
1129.043	869
1129.213	940
1129.384	913
1129.555	921
1129.726	920
1129.897	962
1130.068	918
1130.239	863
1130.410	845
1130.581	917
1130.752	873
1130.923	828
1131.094	838
1131.265	853
1131.436	831
1131.607	866
1131.778	817
1131.949	896
1132.120	818
1132.291	749
1132.462	780
1132.633	780
1132.804	777
1132.975	700
1133.146	750
1133.317	727
1133.488	755
1133.659	672
1133.830	712
1134.001	696
1134.172	646
1134.343	652
1134.514	632
1134.685	550
1134.856	626
1135.027	629
1135.198	560
1135.369	583
1135.540	593
1135.711	573
1135.882	612
1136.053	561
1136.224	559
1136.395	588
1136.566	564
1136.737	550
1136.908	559
1137.079	521
1137.250	518
1137.421	496
1137.592	516
1137.763	504
1137.934	463
1138.105	450
1138.276	478
1138.447	405
1138.617	422
1138.788	434
1138.959	405
1139.130	378
1139.301	377
1139.472	382
1139.643	378
1139.814	350
1139.985	366
1140.156	326
1140.327	370
1140.498	362
1140.669	323
1140.840	307
1141.011	343
1141.182	299
1141.353	340
1141.524	275
1141.695	285
1141.866	292
1142.037	311
1142.208	262
1142.379	262
1142.550	263
1142.721	250
1142.892	249
1143.063	250
1143.234	239
1143.405	230
1143.576	219
1143.747	238
1143.918	210
1144.089	216
1144.260	219
